"","CRUISE","SEAMAP","FLUORO","DEPTH","storm"
"1","RP1","B220",0.4687,7.6,"Harvey"
"2","RP1","B220",0.5298,9.6,"Harvey"
"3","RP1","B220",0.5242,9.8,"Harvey"
"4","RP1","B220",0.4848,10,"Harvey"
"5","RP1","B220",0.4731,10.2,"Harvey"
"6","RP1","B221",1.694318753,3,"Harvey"
"7","RP1","B221",1.606334842,3.2,"Harvey"
"8","RP1","B221",0.605441037,4.6,"Harvey"
"9","RP1","B221",0.586056645,4.8,"Harvey"
"10","RP1","B221",0.595665047,5,"Harvey"
"11","RP1","B219",0.7446,7,"Harvey"
"12","RP1","B219",0.7445,7.2,"Harvey"
"13","RP1","B219",0.7428,7.4,"Harvey"
"14","RP1","B219",0.7379,7.8,"Harvey"
"15","RP1","B219",0.7408,8,"Harvey"
"16","RP1","B222",1.62644545,3.2,"Harvey"
"17","RP1","B222",1.614937713,3.4,"Harvey"
"18","RP1","B222",1.636444891,3.6,"Harvey"
"19","RP1","B222",1.641751857,6.2,"Harvey"
"20","RP1","B222",1.629908944,6.4,"Harvey"
"21","RP1","B218",0.573,22.8,"Harvey"
"22","RP1","B218",0.5932,23,"Harvey"
"23","RP1","B218",0.5704,23.2,"Harvey"
"24","RP1","B218",0.577,23.6,"Harvey"
"25","RP1","B218",0.5684,27,"Harvey"
"26","RP1","B223",0.5239,3.2,"Harvey"
"27","RP1","B223",0.4816,30.6,"Harvey"
"28","RP1","B223",0.4765,39.6,"Harvey"
"29","RP1","B223",0.475,39.8,"Harvey"
"30","RP1","B223",0.481,50.2,"Harvey"
"31","RP1","B217",0.9562,53.2,"Harvey"
"32","RP1","B217",0.9067,53.4,"Harvey"
"33","RP1","B217",0.9053,53.6,"Harvey"
"34","RP1","B217",0.9053,53.8,"Harvey"
"35","RP1","B217",0.8987,54.4,"Harvey"
"36","SEAMAP","B220",1.272,3,"Harvey"
"37","SEAMAP","B220",1.2732,3.4,"Harvey"
"38","SEAMAP","B220",1.2278,3.6,"Harvey"
"39","SEAMAP","B220",1.2215,3.8,"Harvey"
"40","SEAMAP","B220",1.2183,4.4,"Harvey"
"41","SEAMAP","B221",0.3907,3.4,"Harvey"
"42","SEAMAP","B221",0.4039,3.6,"Harvey"
"43","SEAMAP","B221",0.4001,3.8,"Harvey"
"44","SEAMAP","B221",0.3899,4,"Harvey"
"45","SEAMAP","B221",0.3862,4.2,"Harvey"
"46","SEAMAP","B219",2.1968,2.6,"Harvey"
"47","SEAMAP","B219",2.541,2.8,"Harvey"
"48","SEAMAP","B219",2.3931,3,"Harvey"
"49","SEAMAP","B219",1.9142,3.2,"Harvey"
"50","SEAMAP","B219",1.9975,3.4,"Harvey"
"51","SEAMAP","B222",1.3083,12.6,"Harvey"
"52","SEAMAP","B222",1.3177,12.8,"Harvey"
"53","SEAMAP","B222",1.3228,13,"Harvey"
"54","SEAMAP","B222",1.3062,13.2,"Harvey"
"55","SEAMAP","B222",1.333,14.4,"Harvey"
"56","SEAMAP","B218",0.6624,19.2,"Harvey"
"57","SEAMAP","B218",0.6687,19.4,"Harvey"
"58","SEAMAP","B218",0.6868,19.6,"Harvey"
"59","SEAMAP","B218",0.6679,19.8,"Harvey"
"60","SEAMAP","B218",0.6748,20,"Harvey"
"61","SEAMAP","B223",0.6225,43.2,"Harvey"
"62","SEAMAP","B223",0.6462,43.4,"Harvey"
"63","SEAMAP","B223",0.655,43.6,"Harvey"
"64","SEAMAP","B223",0.6874,43.8,"Harvey"
"65","SEAMAP","B223",0.7173,44,"Harvey"
"66","SEAMAP","B217",0.5754,34.4,"Harvey"
"67","SEAMAP","B217",0.6044,34.6,"Harvey"
"68","SEAMAP","B217",0.601,34.8,"Harvey"
"69","SEAMAP","B217",0.5863,35,"Harvey"
"70","SEAMAP","B217",0.5628,35.2,"Harvey"
"71","0604","B221",5.064,5,"None"
"72","0604","B221",5.838,6,"None"
"73","0604","B221",6.383,7,"None"
"74","0604","B221",7.008,8,"None"
"75","0604","B221",7.051,9,"None"
"76","0604","B222",0.616,5,"None"
"77","0604","B222",0.574,6,"None"
"78","0604","B222",0.591,10,"None"
"79","0604","B222",0.602,11,"None"
"80","0604","B222",0.582,14,"None"
"81","0604","B223",0.661,41,"None"
"82","0604","B223",0.709,42,"None"
"83","0604","B223",0.794,43,"None"
"84","0604","B223",0.883,44,"None"
"85","0604","B223",1.045,45,"None"
"86","0604","B217",0.478,35,"None"
"87","0604","B217",0.482,36,"None"
"88","0604","B217",0.502,37,"None"
"89","0604","B217",0.529,38,"None"
"90","0604","B217",0.549,39,"None"
"91","0604","B218",0.964,3,"None"
"92","0604","B218",0.886,4,"None"
"93","0604","B218",0.937,5,"None"
"94","0604","B218",0.961,6,"None"
"95","0604","B218",0.91,7,"None"
"96","0604","B219",2.454,7,"None"
"97","0604","B219",2.413,8,"None"
"98","0604","B219",2.819,9,"None"
"99","0604","B219",3.3,10,"None"
"100","0604","B219",4.632,11,"None"
"101","0604","B220",13.025,2,"None"
"102","0604","B220",13.494,3,"None"
"103","0604","B220",13.641,4,"None"
"104","0604","B220",13.11,5,"None"
"105","0604","B220",12.907,6,"None"
"106","0804","B221",4.843,3,"None"
"107","0804","B221",4.907,4,"None"
"108","0804","B221",4.844,5,"None"
"109","0804","B221",4.894,6,"None"
"110","0804","B221",4.791,8,"None"
"111","0804","B222",2.914,2,"None"
"112","0804","B222",2.635,3,"None"
"113","0804","B222",2.619,4,"None"
"114","0804","B222",2.555,8,"None"
"115","0804","B222",2.798,9,"None"
"116","0804","B222",2.555,13,"None"
"117","0804","B223",3.127,20,"None"
"118","0804","B223",3.764,22,"None"
"119","0804","B223",3.346,23,"None"
"120","0804","B223",3.356,24,"None"
"121","0804","B223",3.598,26,"None"
"122","0805","B223",1.349,41,"Ike"
"123","0805","B223",1.409,42,"Ike"
"124","0805","B223",1.545,43,"Ike"
"125","0805","B223",1.679,44,"Ike"
"126","0805","B223",1.702,45,"Ike"
"127","0805","B217",1.285,29,"Ike"
"128","0805","B217",1.536,37,"Ike"
"129","0805","B217",1.618,38,"Ike"
"130","0805","B217",1.736,39,"Ike"
"131","0805","B217",1.784,40,"Ike"
"132","0284","B222",1.734,8,"Ike"
"133","0284","B222",1.661,13,"Ike"
"134","0284","B222",1.837,15,"Ike"
"135","0284","B222",1.663,18,"Ike"
"136","0284","B222",1.684,19,"Ike"
"137","0284","B219",1.649,3,"Ike"
"138","0284","B219",1.645,5,"Ike"
"139","0284","B219",1.629,7,"Ike"
"140","0284","B219",1.628,9,"Ike"
"141","0284","B219",1.634,10,"Ike"
"142","0291","B221",10.098,3,"None"
"143","0291","B221",13.145,4,"None"
"144","0291","B221",8.96,5,"None"
"145","0291","B221",8.087,7,"None"
"146","0291","B221",8.654,8,"None"
"147","0291","B222",7.199,6,"None"
"148","0291","B222",7.776,7,"None"
"149","0291","B222",7.07,8,"None"
"150","0291","B222",7.548,9,"None"
"151","0291","B222",8.006,10,"None"
"152","0291","B223",1.978,36,"None"
"153","0291","B223",2.019,37,"None"
"154","0291","B223",1.953,38,"None"
"155","0291","B223",2.168,42,"None"
"156","0291","B223",2.277,43,"None"
"157","0292","B223",0.525,21,"None"
"158","0292","B223",0.531,22,"None"
"159","0292","B223",0.589,36,"None"
"160","0292","B223",0.548,37,"None"
"161","0292","B223",0.548,40,"None"
"162","0292","B217",0.617,32,"None"
"163","0292","B217",0.648,33,"None"
"164","0292","B217",0.637,36,"None"
"165","0292","B217",0.67,37,"None"
"166","0292","B217",0.668,38,"None"
"167","0292","B222",0.155,9,"None"
"168","0292","B222",0.152,10,"None"
"169","0292","B222",0.784,16,"None"
"170","0292","B222",0.53,17,"None"
"171","0292","B222",0.723,19,"None"
"172","0292","B219",1.057,2,"None"
"173","0292","B219",0.971,3,"None"
"174","0292","B219",0.732,5,"None"
"175","0292","B219",0.735,6,"None"
"176","0292","B219",0.703,7,"None"
"177","0292","B218",0.791,3,"None"
"178","0292","B218",0.705,9,"None"
"179","0292","B218",0.72,17,"None"
"180","0292","B218",0.773,18,"None"
