"cruise","seamap","storm","lat","lon","depth","salinity","temp","pressure","density","strat","fluoro","depth.fluoro"
"0291","B221","None",28.9958,-95.0052,3.5,27.31225,30.249,3.52511257766358,1015.9080675069,4.77627837036107,10.7343333333333,4
"0291","B222","None",28.4582,-95.0097,3.5,32.93325,30.26975,3.52511257766358,1020.10096483886,1.4914973337809,NA,NA
"0291","B223","None",27.9987,-95.0145,3.5,35.461,30.10875,3.52511257766358,1022.04964770272,0.874522887801959,NA,NA
"0292","B217","None",27.986,-94.4988,3,35.4968,27.4308,3.02152377633425,1022.96643662484,0.319741820486229,NA,NA
"0292","B218","None",28.4643,-94.5022,3.5,33.64025,26.44175,3.52511257766358,1021.88530313485,0.696233982289073,0.791,3
"0292","B219","None",28.9932,-94.5263,3.5,30.221,25.75775,3.52511257766358,1019.52159439346,1.57482962079098,0.92,3.33333333333333
"0292","B222","None",28.4582,-95.0097,3.5,34.18475,26.67675,3.52511257766358,1022.22151180872,0.459524217023045,NA,NA
"0292","B223","None",27.9987,-95.0145,3,34.7154,27.4148,3.02152377633425,1022.38337323088,1.08106227461769,NA,NA
"0301","B217","None",27.986,-94.4988,4.5,36.347,27.6405,4.53229469619583,1023.54502768503,0.17397378335852,NA,NA
"0301","B218","None",28.4643,-94.5022,4.5,36.265,27.1915,4.53229469619583,1023.62878575632,0.0683099916954006,NA,NA
"0301","B219","None",28.9932,-94.5263,4.5,35.113,26.1235,4.53229469619583,1023.09950751934,0.0203598741636597,1.4725,4.5
"0301","B220","None",29.4257,-94.5032,4,29.562,25.298,4.02870288427531,1019.16624275968,0.0408991108899954,2.74933333333333,4
"0301","B221","None",28.9958,-95.0052,4,32.8906666666667,25.7823333333333,4.02870288427531,1021.52732896248,0.0486983522760056,2.6475,4.5
"0301","B222","None",28.4582,-95.0097,4,36.25,27.0036666666667,4.02870288427531,1023.67574308819,0.0597455210752287,NA,NA
"0301","B223","None",27.9987,-95.0145,4.5,36.352,27.7025,4.53229469619583,1023.52857638827,0.227097041844104,NA,NA
"0604","B217","None",27.986,-94.4988,3.5,36.48875,29.74625,3.52511257766358,1022.94469392474,1.47865213225441,NA,NA
"0604","B218","None",28.4643,-94.5022,3.5,36.032,30.05425,3.52511257766358,1022.49655137902,0.447161033067573,0.929,4
"0604","B219","None",28.9932,-94.5263,3.5,34.7775,30.359,3.52511257766358,1021.45144599078,0.236367468965682,NA,NA
"0604","B220","None",29.4257,-94.5032,3.5,32.171,29.91175,3.52511257766358,1019.65192195837,0.0493260144249916,13.3175,3.5
"0604","B221","None",28.9958,-95.0052,3.5,35.84675,30.58775,3.52511257766358,1022.17363548832,0.133102922874514,5.064,5
"0604","B222","None",28.4582,-95.0097,3.5,36.40475,29.927,3.52511257766358,1022.8198333502,0.240308156866604,0.616,5
"0604","B223","None",27.9987,-95.0145,4,36.477,29.7476666666667,4.02870288427531,1022.93753797417,2.4680481919894,NA,NA
"0804","B221","None",28.9958,-95.0052,3.5,31.2905,26.5755,3.52511257766358,1020.07475582436,0.0436123085843292,4.86466666666667,4
"0804","B222","None",28.4582,-95.0097,3.5,34.641,26.84125,3.52511257766358,1022.51306398257,0.167942456203264,2.72266666666667,3
"0804","B223","None",27.9987,-95.0145,4,34.986,27.824,4.02870288427531,1022.4587953469,1.39147600324577,NA,NA
"0904","B217","None",27.986,-94.4988,3.5,36.59275,29.49225,3.52511257766358,1023.1092755867,1.60855864382347,NA,NA
"0904","B218","None",28.4643,-94.5022,3.5,36.67575,30.0285,3.52511257766358,1022.98836643457,0.0773736812633388,NA,NA
"0904","B219","None",28.9932,-94.5263,3.5,35.49575,29.991,3.52511257766358,1022.11602766784,0.0775803801917618,5.002,5
"0904","B221","None",28.9958,-95.0052,3.5,31.88875,30.02475,3.52511257766358,1019.40250360707,1.13604943460678,9.34375,3.5
"0904","B222","None",28.4582,-95.0097,3,36.7028,29.9552,3.02152377633425,1023.03168998115,0.0728015063591556,NA,NA
"0904","B223","None",27.9987,-95.0145,3,36.612,29.3788,3.02152377633425,1023.1600765688,1.59069742237398,NA,NA
"1606","B217","None",27.986,-94.4988,3.5,36.3683,30.350625,3.52511257766358,1022.64671966686,1.29918016386796,NA,NA
"1606","B218","None",28.4643,-94.5022,3.5,34.435725,29.9633,3.52511257766358,1021.33077915974,1.29420593022235,NA,NA
"1606","B219","None",28.9932,-94.5263,3.5,33.260675,30.492025,3.52511257766358,1020.26996403404,0.00984787274683185,0.3344,3.66666666666667
"1606","B220","None",29.4257,-94.5032,3,23.15934,30.89394,3.02152377633425,1012.59594856318,4.87951880576543,7.67376,3
"1606","B221","None",28.9958,-95.0052,3.5,27.6385,30.5351,3.52511257766358,1016.05812123482,8.03914063616344,2.55286666666667,3
"1606","B222","None",28.4582,-95.0097,3.5,33.07395,30.129225,3.52511257766358,1020.25417921572,0.820695819434945,NA,NA
"1606","B223","None",27.9987,-95.0145,3.5,36.239725,29.974575,3.52511257766358,1022.67970587211,2.20785842870771,NA,NA
