"","X","SEAMAP","DEPTH","FLUORO","SALINITY","TEMP","CRUISE","depth","pressure","density","ID","strat","storm"
"1",1,"B220",3,0.4479,30.47295,22.86515,"RP1",10.2,3.02151926043428,1020.55542407427,"Q52",0.195021851752927,"Harvey"
"2",2,"B220",3.2,0.417,30.47365,22.8668,"RP1",10.2,3.22295532285984,1020.55636860345,"Q52",0.195021851752927,"Harvey"
"3",3,"B220",3.4,0.3962,30.4736,22.86645,"RP1",10.2,3.42439156593527,1020.55730728134,"Q52",0.195021851752927,"Harvey"
"4",4,"B220",3.6,0.3992,30.4727,22.86485,"RP1",10.2,3.62582798963544,1020.55795378551,"Q52",0.195021851752927,"Harvey"
"5",5,"B220",3.8,0.4342,30.47285,22.8644,"RP1",10.2,3.82726459398547,1020.55907189838,"Q52",0.195021851752927,"Harvey"
"6",6,"B220",4,0.3662,30.47345,22.8659,"RP1",10.2,4.02870137896025,1020.55998286576,"Q52",0.195021851752927,"Harvey"
"7",7,"B220",4.2,0.3892,30.47495,22.87265,"RP1",10.2,4.23013834455978,1020.56010009817,"Q52",0.195021851752927,"Harvey"
"8",8,"B220",4.4,0.4387,30.48075,22.8897,"RP1",10.2,4.43157549080917,1020.56057616704,"Q52",0.195021851752927,"Harvey"
"9",9,"B220",4.6,0.4307,30.4842,22.89255,"RP1",10.2,4.63301281773354,1020.5632638841,"Q52",0.195021851752927,"Harvey"
"10",10,"B220",4.8,0.4456,30.48665,22.89425,"RP1",10.2,4.83445032525754,1020.56551807305,"Q52",0.195021851752927,"Harvey"
"11",11,"B220",5,0.4346,30.4872,22.8951,"RP1",10.2,5.03588801343141,1020.56657341356,"Q52",0.195021851752927,"Harvey"
"12",38,"B221",3,1.694318753,32.65555,23.06095,"RP1",14,3.02151926043428,1022.15234997609,"Q53",0.296261457958735,"Harvey"
"13",39,"B221",3.2,1.606334842,32.0566,22.9745,"RP1",14,3.22295532285984,1021.72425296644,"Q53",0.296261457958735,"Harvey"
"14",40,"B221",3.4,NA,32.9935,23.08155,"RP1",14,3.42439156593527,1022.40418318521,"Q53",0.296261457958735,"Harvey"
"15",41,"B221",3.6,0.548907882,32.8651,23.082,"RP1",14,3.62582798963544,1022.30767287282,"Q53",0.296261457958735,"Harvey"
"16",42,"B221",3.8,0.518518519,32.86125,23.08025,"RP1",14,3.82726459398547,1022.30613230468,"Q53",0.296261457958735,"Harvey"
"17",43,"B221",4,0.44913692,32.8606,23.0773,"RP1",14,4.02870137896025,1022.30735860247,"Q53",0.296261457958735,"Harvey"
"18",44,"B221",4.2,0.294676275,32.86095,23.07845,"RP1",14,4.23013834455978,1022.30816991747,"Q53",0.296261457958735,"Harvey"
"19",45,"B221",4.4,0.306575052,32.85985,23.0743,"RP1",14,4.43157549080917,1022.30939845332,"Q53",0.296261457958735,"Harvey"
"20",46,"B221",4.6,0.605441037,32.85795,23.07335,"RP1",14,4.63301281773354,1022.30910602823,"Q53",0.296261457958735,"Harvey"
"21",47,"B221",4.8,0.586056645,32.8582,23.0723,"RP1",14,4.83445032525754,1022.31047065458,"Q53",0.296261457958735,"Harvey"
"22",48,"B221",5,0.595665047,32.85835,23.07245,"RP1",14,5.03588801343141,1022.31141644344,"Q53",0.296261457958735,"Harvey"
"23",94,"B219",4.4,0.712,32.4254,23.55875,"RP1",9.9,4.43157549080917,1021.8412015821,"Q51",0.363844285274581,"Harvey"
"24",95,"B219",4.6,0.7197,32.42505,23.5545,"RP1",9.9,4.63301281773354,1021.8430404472,"Q51",0.363844285274581,"Harvey"
"25",96,"B219",4.8,0.71,32.4211,23.5642,"RP1",9.9,4.83445032525754,1021.83812085849,"Q51",0.363844285274581,"Harvey"
"26",97,"B219",5,0.7148,32.4287,23.5426,"RP1",9.9,5.03588801343141,1021.85099199422,"Q51",0.363844285274581,"Harvey"
"27",122,"B222",3.2,1.62644545,33.13035,23.74935,"RP1",27.8,3.22295532285984,1022.313956747,"Q54",1.39345863958488,"Harvey"
"28",123,"B222",3.4,1.614937713,33.13025,23.7397,"RP1",27.8,3.42439156593527,1022.31756909085,"Q54",1.39345863958488,"Harvey"
"29",124,"B222",3.6,1.636444891,33.1295,23.74175,"RP1",27.8,3.62582798963544,1022.31727708706,"Q54",1.39345863958488,"Harvey"
"30",125,"B222",3.8,1.573543377,33.1289,23.7417,"RP1",27.8,3.82726459398547,1022.31771103337,"Q54",1.39345863958488,"Harvey"
"31",126,"B222",4,1.573710966,33.12875,23.74135,"RP1",27.8,4.02870137896025,1022.31857295502,"Q54",1.39345863958488,"Harvey"
"32",127,"B222",4.2,1.554829339,33.12885,23.74175,"RP1",27.8,4.23013834455978,1022.31940528632,"Q54",1.39345863958488,"Harvey"
"33",128,"B222",4.4,1.534774594,33.12885,23.7417,"RP1",27.8,4.43157549080917,1022.32029319871,"Q54",1.39345863958488,"Harvey"
"34",129,"B222",4.6,1.53650634,33.12925,23.7417,"RP1",27.8,4.63301281773354,1022.32146917247,"Q54",1.39345863958488,"Harvey"
"35",130,"B222",4.8,1.533433886,33.12945,23.7427,"RP1",27.8,4.83445032525754,1022.32220214741,"Q54",1.39345863958488,"Harvey"
"36",131,"B222",5,1.499189989,33.1292,23.74335,"RP1",27.8,5.03588801343141,1022.32269671982,"Q54",1.39345863958488,"Harvey"
"37",246,"B218",4,0.1055,34.99985,24.5532,"RP1",30.4,4.02870137896025,1023.49357945776,"Q50",0.663857485707467,"Harvey"
"38",247,"B218",4.2,0.1211,34.9995,24.5564,"RP1",30.4,4.23013834455978,1023.49322243189,"Q50",0.663857485707467,"Harvey"
"39",248,"B218",4.4,0.1185,34.99915,24.5579,"RP1",30.4,4.43157549080917,1023.493376395,"Q50",0.663857485707467,"Harvey"
"40",249,"B218",4.6,0.1215,35.0003,24.55275,"RP1",30.4,4.63301281773354,1023.49666391799,"Q50",0.663857485707467,"Harvey"
"41",250,"B218",4.8,0.1212,35.00585,24.53315,"RP1",30.4,4.83445032525754,1023.50762141574,"Q50",0.663857485707467,"Harvey"
"42",251,"B218",5,0.1229,35.0134,24.51235,"RP1",30.4,5.03588801343141,1023.52044939095,"Q50",0.663857485707467,"Harvey"
"43",379,"B223",3.2,0.5239,36.2388,26.37765,"RP1",54.6,3.22295532285984,1023.86328295176,"Q55",1.10109917772274,"Harvey"
"44",380,"B223",3.4,0.4511,36.23985,26.38225,"RP1",54.6,3.42439156593527,1023.86348535643,"Q55",1.10109917772274,"Harvey"
"45",381,"B223",3.6,0.4575,36.2407,26.383,"RP1",54.6,3.62582798963544,1023.86475433599,"Q55",1.10109917772274,"Harvey"
"46",382,"B223",3.8,0.4667,36.24195,26.3782,"RP1",54.6,3.82726459398547,1023.8680803094,"Q55",1.10109917772274,"Harvey"
"47",383,"B223",4,0.4092,36.2429,26.3742,"RP1",54.6,4.02870137896025,1023.87092681518,"Q55",1.10109917772274,"Harvey"
"48",384,"B223",4.2,0.4543,36.2426,26.37825,"RP1",54.6,4.23013834455978,1023.87028459607,"Q55",1.10109917772274,"Harvey"
"49",385,"B223",4.4,0.4261,36.24145,26.38425,"RP1",54.6,4.43157549080917,1023.86838416223,"Q55",1.10109917772274,"Harvey"
"50",386,"B223",4.6,0.4057,36.2417,26.38155,"RP1",54.6,4.63301281773354,1023.87029154017,"Q55",1.10109917772274,"Harvey"
"51",387,"B223",4.8,0.4039,36.2417,26.3827,"RP1",54.6,4.83445032525754,1023.87079264306,"Q55",1.10109917772274,"Harvey"
"52",388,"B223",5,0.416,36.2417,26.38505,"RP1",54.6,5.03588801343141,1023.87091418264,"Q55",1.10109917772274,"Harvey"
"53",637,"B217",5,0.136,36.13575,26.042,"RP1",60,5.03588801343141,1023.89898850664,"Q49",0.949662792104732,"Harvey"
